Date,Publication,Headline,URL,Ideology
2019-03-04,Daily Mail,"one orthodox jewish school is driving new york's measles spread, health officials say: 21 of the city's 31 new cases linked to brooklyn yeshiva that allowed unvaccinated kids to come in",https://www.dailymail.co.uk/health/article-6769759/A-single-yeshiva-linked-21-measles-cases-Brooklyn-NYC-outbreak-continues.html,Conservative
2019-03-04,The Guardian,"vaccines  no link between autism and mmr, affirms major study",https://www.theguardian.com/society/2019/mar/04/no-link-between-autism-and-mmr-affirms-major-study,Liberal
2019-03-05,The Guardian,"vaccines  i defied mother to get vaccinated for safety of me and others, us teen says",https://www.theguardian.com/us-news/2019/mar/05/ethan-lindenberger-ohio-congress-vaccines,Liberal
2019-03-05,The Guardian,revealed how amazonsmile helps fund anti-vaccine groups,https://www.theguardian.com/us-news/2019/mar/05/revealed-amazonsmile-helps-fund-anti-vaccine-groups,Liberal
2019-03-05,The Guardian,"i defied mother to get vaccinated for safety of me and others, us teen says",https://www.theguardian.com/us-news/2019/mar/05/ethan-lindenberger-ohio-congress-vaccines,Liberal
2019-03-05,The Guardian,anti-vaxx propaganda is flooding the internet. will tech companies act?,https://www.theguardian.com/commentisfree/2019/mar/05/anti-vaxx-propaganda-internet-tech,Liberal
2019-03-06,New York Times,"brett p. giroir, robert r. redfield and jerome m. adamsthis is the truth about vaccines",https://www.nytimes.com/2019/03/06/opinion/vaccines-autism-flu.html,Liberal
2019-03-07,Daily Mail,bill and melinda gates sue company that was granted $30million to develop a pneumonia vaccine for children - but instead used the money to pay off its back rent and other debts it racked up,https://www.dailymail.co.uk/news/article-6777959/Bills-Melinda-Gates-sue-company-paid-30million-develop-pneumonia-vaccine.html,Conservative
2019-03-07,Daily Mail,"anti-vaxxer's son, 30, who contracted measles at a graduation says parents today have 'no excuse' to not vaccinate their children after ordeal that left him struggling to walk",https://www.dailymail.co.uk/health/article-6782451/Anti-vaxxers-adult-son-contracts-measles-says-parents-today-no-excuse-not-vaccinate.html,Conservative
2019-03-07,The Guardian,facebook  company to ban anti-vaxx ads in new push against 'vaccine hoaxes',https://www.theguardian.com/technology/2019/mar/07/facebook-anti-vaxx-vaccine-hoax-ads,Liberal
2019-03-07,The Guardian,company to ban anti-vaxx ads in new push against 'vaccine hoaxes',https://www.theguardian.com/technology/2019/mar/07/facebook-anti-vaxx-vaccine-hoax-ads,Liberal
2019-03-08,Daily Mail,anti-vaxxer dad is mercilessly mocked by quick-witted facebook users after asking for furniture recommendations for an 'outdoor bedroom' for his two-year-old son jericho,https://www.dailymail.co.uk/femail/article-6787693/Anti-vaccination-parent-BRUTALLY-mocked-asked-people-recommendations.html,Conservative
2019-03-09,New York Times,frank brunithe real horror of the anti-vaxxers,https://www.nytimes.com/2019/03/09/opinion/sunday/the-real-horror-of-the-anti-vaxxers.html,Liberal
2019-03-09,The Guardian,"oregon  treatment of unvaccinated boy with tetanus cost nearly $1m, cdc says",https://www.theguardian.com/us-news/2019/mar/09/cdc-treatment-cost-tetanus-unvaccinated-oregon-boy,Liberal
